topic,dimension,words,Count,Name,Representation
16,Identity,LoveDefinition,2149,16_爱情_真爱_感情_相爱,"['爱情', '真爱', '感情', '相爱', '不爱', '相信', '值得', '爱是', '深情', '一见钟情']"
20,Evaluation,SexualityGuess,1436,20_gay_视频_去过_雷达,"['gay', '视频', '去过', '雷达', '鉴别', '合成', '电视', '一眼', '判断', '我哥']"
21,Identity,LoveDefinition,1498,21_性取向_取向_乱七八糟_模糊,"['性取向', '取向', '乱七八糟', '模糊', '我长', '眼睛', '怀疑', '挤眼', '正常', '稳定']"
23,Identity,GenderIdentity,3035,23_女装_男扮女装_男装_女扮男装,"['女装', '男扮女装', '男装', '女扮男装', '打扮', '大笑', '男扮', '女扮', '电视剧', '古装剧']"
24,Evaluation,Approval,2549,24_评论_好吃_区笑_吃饭,"['评论', '好吃', '区笑', '吃饭', '吃饱', '勇闯', '区好', '不吃', '太饱', '测测']"
25,Sexuality,Courtship,1994,25_通讯录_不服_女朋友_找对象,"['通讯录', '不服', '女朋友', '找对象', '对象', '想要', '脚刹', '哪里找', '找个', '相亲']"
26,Identity,LoveDefinition,2661,26_双谈_男人_女人_双是,"['双谈', '男人', '女人', '双是', '女生', '不当', '男生', '男女', '下去', '男双']"
27,Evaluation,PublicMorality,1302,27_骂人_难听_好脏_oi,"['骂人', '难听', '好脏', 'oi', '鄙视', '别骂', '猛拍', '肚皮', '全身上下', '一遍']"
28,Sexuality,PhysicalApperances,1255,28_女变男_变成_男变女_变女,"['女变男', '变成', '男变女', '变女', '变男', '侄女', '装姬', '女人', '勇闯', '男人']"
30,Division,CarryonthefamilyLineage,1270,30_送心_克制_爱是_教官,"['送心', '克制', '爱是', '教官', '烦烦', '心动', '中医', '怀孕', '好消息', '如花']"
31,Identity,LoveDefinition,1209,31_恋爱_谈恋爱_恶心_脑是,"['恋爱', '谈恋爱', '恶心', '脑是', '彩虹', 'der', '没谈过', '不想', '心理学', '需求']"
33,Evaluation,SexualityGuess,1606,33_拉拉_表情_图片_拉子,"['拉拉', '表情', '图片', '拉子', '拉圈', '卡巴', '之歌', '卡玛', '特是', '无可']"
34,Sexuality,PhysicalApperances,1342,34_胡子_络腮胡_大胡子_刮胡子,"['胡子', '络腮胡', '大胡子', '刮胡子', '留胡子', '寸头', '圆脸', '长胡子', '美女', '鼻毛']"
35,Division,Outsider,927,35_听不懂_听懂_英语_中文,"['听不懂', '听懂', '英语', '中文', '名词', '数学', '一句', '听得懂', '专业术语', '明白']"
36,Identity,LoveDefinition,1609,36_女同_男同_惊恐_可怕,"['女同', '男同', '惊恐', '可怕', '害怕', '恐惧', '恐怖', '吓人', '吓死人', '吓死']"
38,Health,MentalIssues,1368,38_变态_性取向_取向_流动,"['变态', '性取向', '取向', '流动', '性向', '变态男', '定义', '统称', '精神病院', '正常']"
40,Evaluation,Approval,1373,40_一拍_随手_右边_相机,"['一拍', '随手', '右边', '相机', '照片', '删除', '网图', '左边', '合拍', '拍照']"
41,Division,Insider,931,41_哈哈哈哈_通讯录_啥意思_加密,"['哈哈哈哈', '通讯录', '啥意思', '加密', '通话', '意思', '本子', '电话', '电话本', '聚会']"
42,Identity,LoveDefinition,996,42_双性恋_谈过_双是_双谈,"['双性恋', '谈过', '双是', '双谈', '不在乎', '双才', '一个双', '歧视', '不在意', '亲过']"
44,Identity,LoveDefinition,935,44_浪漫_双性_异性恋_双性恋,"['浪漫', '双性', '异性恋', '双性恋', '无性', '同性恋', '异性', '纸性', '倾向', '双向']"
45,Identity,Boundaries,1336,45_朋友_暗中_观察_交朋友,"['朋友', '暗中', '观察', '交朋友', '交个', '友谊', '友情', '微信', '好友', '见面']"
46,Identity,Boundaries,861,46_暗中_观察_拜天地_拜把子,"['暗中', '观察', '拜天地', '拜把子', '女寝', '男寝', '室友', '女生宿舍', '男生宿舍', '宿舍']"
47,Evaluation,Approval,927,47_好看_好好看_爱看_越来越,"['好看', '好好看', '爱看', '越来越', '北鼻', '我超', '还怪', '鼓掌', '买不起', '看上']"
48,Sexuality,IntimateDivisionship,1436,48_妈妈_性别_我妈_小妈,"['妈妈', '性别', '我妈', '小妈', '两种', '母亲', '性别歧视', '我滴', '年轻', '伟大']"
49,Identity,LoveDefinition,1168,49_结婚_变弯_已婚_婚姻,"['结婚', '变弯', '已婚', '婚姻', '结了婚', '不婚', '离婚', '弯掉', '不弯', '征婚']"
50,Sexuality,PhysicalApperances,962,50_这颜值_美颜_颜值_阿胶,"['这颜值', '美颜', '颜值', '阿胶', '黑脸', '相中', '脸码', '易容术', '长相', '鼻孔']"
51,Identity,Freedom,990,51_成都_四川_一护_喜欢,"['成都', '四川', '一护', '喜欢', '不亏', '很强', '电线杆', '包容性', '一姐', '南充']"
52,Subculture,Materialistic,1006,52_太像_人生_开心_生活,"['太像', '人生', '开心', '生活', '而活', '短短', '几十年', '活着', '有点像', '活成']"
53,Division,Insider,848,53_干烧_cpu_哈哈哈_拉拉,"['干烧', 'cpu', '哈哈哈', '拉拉', '87', '安慰', '温暖', 'lalaland', '烧干', 'land']"
54,Identity,LoveDefinition,732,54_兄弟_没求_哥们_这辈子,"['兄弟', '没求', '哥们', '这辈子', '求过', '哥们儿', '做好', '宋刚', '拜把子', '哥求']"
55,Sexuality,Courtship,914,55_衣服_这套_宿命_爱上,"['衣服', '这套', '宿命', '爱上', '好看', '穿成', '上衣', '卡哇', '料子', '麦当劳']"
56,Sexuality,PhysicalApperances,1090,56_这腿_老婆_oi_老公,"['这腿', '老婆', 'oi', '老公', '猛拍', '肚皮', '天赋', '说句话', '小腿', '异禀']"
57,Sexuality,PhysicalApperances,1024,57_声音_没图_真相_论文,"['声音', '没图', '真相', '论文', '伪音', '性感', '如你所愿', '盛世', '我焯', '嗓音']"
58,Sexuality,PhysicalApperances,1491,58_好准_挺准_很准_不准,"['好准', '挺准', '很准', '不准', '好色', '太准', '蛮准', '小于', '真准', '小准']"
61,Sexuality,PhysicalApperances,1173,61_化妆_听歌_滤镜_妆容,"['化妆', '听歌', '滤镜', '妆容', '出妆教', '背景音乐', '美颜', '眼妆', '音乐', '画风']"
63,Sexuality,PhysicalApperances,1003,63_减肥_头发_瘦下来_胖子,"['减肥', '头发', '瘦下来', '胖子', '好瘦', '胖胖的', '刘海', '胖胖', '发型', '长发']"
64,Evaluation,Approval,730,64_尊重_同胞_理解_勾引,"['尊重', '同胞', '理解', '勾引', '750w', '伤害', '一张', '照片', '提倡', '支持']"
65,Sexuality,Courtship,1025,65_黑龙江_吉林_长春_辽宁,"['黑龙江', '吉林', '长春', '辽宁', '锦州', '大连', '东北', 'tp', '人民币', '汇率']"
67,Sexuality,PhysicalApperances,820,67_妈妈_伟大_我妈_母亲,"['妈妈', '伟大', '我妈', '母亲', '好好看', '这位', '好看', '妈耶', '内疚', '妈咪']"
68,Subculture,Materialistic,689,68_赚钱_有钱_挣钱_一个月,"['赚钱', '有钱', '挣钱', '一个月', '行业', '有钱人', '工资', '花钱', '各行各业', '没钱']"
69,Identity,LoveDefinition,720,69_不分性别_无关_爱情_性别,"['不分性别', '无关', '爱情', '性别', '吸弯', '相爱', '弯成', '体质', '蚊香', '年龄']"
70,Sexuality,Courtship,1045,70_21_20_19_18,"['21', '20', '19', '18', '22', '性别', '23', '25', '26', '16']"
71,Identity,LoveDefinition,961,71_双性人_ts_双性_tct,"['双性人', 'ts', '双性', 'tct', '小说', '休闲', '存在', '海棠', '保护', '现实']"
72,Identity,Legal,807,72_诈骗_诈骗罪_骗人_骗子,"['诈骗', '诈骗罪', '骗人', '骗子', '觉悟', '子有', '骗钱', '锅盖', '吃醋', '饺子']"
73,Subculture,Materialistic,1125,73_生活_好笑_人生_会笑,"['生活', '好笑', '人生', '会笑', '这辈子', '珍惜', '过好', '倍速', '谈个', '当下']"
74,Evaluation,PublicMorality,709,74_腿子_恶心_斯哈_素材,"['腿子', '恶心', '斯哈', '素材', '地刷', '收集', '鞋子', '回避', '人格', '这脚']"
76,Identity,Boundaries,663,76_圈子_贵圈_混圈_圈子里,"['圈子', '贵圈', '混圈', '圈子里', '真乱', '新鲜感', '诱惑', '进圈', '圈里', '途径']"
78,Evaluation,Approval,816,78_勇敢_勇气_玫瑰_坚强,"['勇敢', '勇气', '玫瑰', '坚强', '勇敢的人', '勇气可嘉', '少年', '佩服', '加油', '好勇']"
80,Identity,Legal,962,80_学校_厕所_女厕所_男厕所,"['学校', '厕所', '女厕所', '男厕所', '女厕', '开学', '违法', '男厕', '学院', '卫生间']"
82,Evaluation,Approval,913,82_结婚_知识_求婚_盲区,"['结婚', '知识', '求婚', '盲区', '领证', '催婚', '知识点', '嫁人', '原地', '结婚证']"
83,Sexuality,Courtship,788,83_广东_广州_东莞_佛山,"['广东', '广州', '东莞', '佛山', '尊重', '珠海', '汕头', '广西', '同情', '惠州']"
84,Division,Insider,839,84_妹妹_姐妹_学着点_学习,"['妹妹', '姐妹', '学着点', '学习', '好好学', '学到', '姐妹俩', '学学', '弟妹', '两姐妹']"
86,Division,ParentApproval,945,86_家长_孩子_大叔_父母,"['家长', '孩子', '大叔', '父母', '小孩', '年轻', '中年', '责任', '老头', '教育']"
87,Identity,Boundaries,881,87_闺蜜_男闺蜜_退后_有钱,"['闺蜜', '男闺蜜', '退后', '有钱', '性恋', '闺蜜们', '这闺蜜', '女闺蜜', '同工同酬', '收留']"
89,Identity,LoveDefinition,854,89_不分性别_直女_无关_硬生生,"['不分性别', '直女', '无关', '硬生生', '爱情', '性别', '弯吧', '限定', 'love', '配黑']"
90,Division,Outsider,613,90_学习_学学_学到_我学,"['学习', '学学', '学到', '我学', '来学', '好好学', '你学', '学会', '撒谎', '学着点']"
92,Evaluation,PublicMorality,822,92_le_模仿_超越_抄袭,"['le', '模仿', '超越', '抄袭', '大白', '没叫', '标签', '永存', '魑魅魍魉', '划走']"
93,Sexuality,SexualBehaviors,787,93_接吻_亲密_接触_泪奔,"['接吻', '亲密', '接触', '泪奔', '亲亲', '亲嘴', '牵手', 'me', '呜呜', '亲吻']"
95,Identity,LoveDefinition,614,95_无性_恋是_恋者_圈子,"['无性', '恋是', '恋者', '圈子', '無性', '兴趣', '恋玩', '贵圈', '无性繁殖', '无爱者']"
96,Identity,LoveDefinition,625,96_同性恋_异性恋_歧视_同性,"['同性恋', '异性恋', '歧视', '同性', '尊重', '反对', '理解', '接受', '支持', '群体']"
97,Sexuality,Courtship,701,97_小狗_狗狗_细狗_勇闯,"['小狗', '狗狗', '细狗', '勇闯', '狗子', '奶狗', '流浪狗', 'dog', '评论', '汪汪']"
98,Evaluation,Approval,887,98_xsh_sai_az_nb,"['xsh', 'sai', 'az', 'nb', 'jake', '市场', 'hzy', 'jy', 'qi', 'zzl']"
99,Sexuality,Courtship,713,99_蹲个_学校_在线_校区,"['蹲个', '学校', '在线', '校区', '开学', '吉林大学', '学院', '同学', '毕业', '成体']"
100,Division,Insider,657,100_家乡_河北_邢台_评论,"['家乡', '河北', '邢台', '评论', '推荐', '区好', '唐山', '沧州', '石家庄', '甘肃']"
101,Sexuality,Courtship,569,101_宕机_广东_引爆_谈不到,"['宕机', '广东', '引爆', '谈不到', '分钟', '10', '标签', 'ppl', '贺州', '我断']"
102,Sexuality,Courtship,720,102_找个_找到_不到_没人,"['找个', '找到', '不到', '没人', '以后', '关灯', '开灯', '康桥', '单间', '睡觉']"
103,Division,ParentApproval,937,103_美女_孩子_家长_教育,"['美女', '孩子', '家长', '教育', '父母', '小孩', '母亲', '漂亮', '平安', '妈妈']"
104,Sexuality,IntimateDivisionship,525,104_感觉_闺蜜来_闺蜜_这种,"['感觉', '闺蜜来', '闺蜜', '这种', '有种', '感受', '胡茬', '尊贵', '体会', '觉得']"
105,Health,Therapy,511,105_变化_变回来_变回去_改变,"['变化', '变回来', '变回去', '改变', '好大', '变变', '变身', '变得', '变成', '改观']"
106,Evaluation,Approval,568,106_好美_太美_小美_美好,"['好美', '太美', '小美', '美好', '美死', '美疯', '美到', '美的', '漂亮', '美丽']"
107,Evaluation,Approval,770,107_裤子_链接_苦命_牛仔裤,"['裤子', '链接', '苦命', '牛仔裤', '紧身裤', '裤衩', '太苦', '脱衣服', '皮裤', '厄运']"
108,Evaluation,PublicMorality,549,108_骗婚_女方_结婚_男方,"['骗婚', '女方', '结婚', '男方', '不骗', '离婚', '赔偿', '孩子', '乱搞', '该死']"
110,Evaluation,PublicMorality,593,110_卧槽_无性_恋是_被压迫,"['卧槽', '无性', '恋是', '被压迫', '恋者', '性需求', '神秘', 'wangwei', '恋前', '菲会']"
111,Identity,Freedom,962,111_金泰_崔然竣_崔然_文明,"['金泰', '崔然竣', '崔然', '文明', '赵妈', '文化', '中国', '社会', '泰亨', '格局']"
112,Sexuality,PhysicalApperances,600,112_长发_短发_小狗_土狗,"['长发', '短发', '小狗', '土狗', '摇尾巴', '颜狗', '飞跑', '鼻青脸肿', '撞开', '打架']"
113,Identity,GenderIdentity,601,113_沃尔玛_购物袋_塑料袋_滋儿,"['沃尔玛', '购物袋', '塑料袋', '滋儿', '纹身', '太牛', '真牛', '司马懿', '定位', '大佬']"
114,Sexuality,Courtship,685,114_哈哈哈哈_蹲个_哈哈哈_对象,"['哈哈哈哈', '蹲个', '哈哈哈', '对象', '陕西', '未婚', '蹲谱', '蹲秀', '蹲同', 'wuwuwu']"
115,Sexuality,PhysicalApperances,549,115_身材_宕机_体型_好身材,"['身材', '宕机', '体型', '好身材', '焦虑', '08', '方言', '不错', '管理', '身板']"
116,Sexuality,SexualBehaviors,711,116_亲亲_接吻_亲嘴_老实,"['亲亲', '接吻', '亲嘴', '老实', 'kiss', '找到', '没人要', '没亲', '亲亲的', '亲吻']"
117,Evaluation,PublicMorality,706,117_三观_颠覆_震碎_很正,"['三观', '颠覆', '震碎', '很正', '刷新', '不正', '至上', '契合', '太正', '第十']"
121,Evaluation,Approval,613,121_卧槽_双标_睡一觉_兴奋,"['卧槽', '双标', '睡一觉', '兴奋', '大学生', '男孩子', '男童', '男模', '男娘', 'boy']"
122,Sexuality,Courtship,612,122_老婆_金泰_bt_媳妇,"['老婆', '金泰', 'bt', '媳妇', '嫉妒', '朴志晟', '喝醉', '那一晚', '会想', '裴珠']"
123,Sexuality,Courtship,534,123_河南_河北_郑州_烟花,"['河南', '河北', '郑州', '烟花', '石家庄', '保定', '邯郸', '沃尔玛', '商丘', '购物袋']"
125,Sexuality,PhysicalApperances,593,125_嘴巴_舌头_嘴唇_口水,"['嘴巴', '舌头', '嘴唇', '口水', '大舌头', '嘴角', '流口水', '抿嘴', '牙齿', '嘴里']"
126,Identity,Freedom,473,126_成都_不愧_历史_传承,"['成都', '不愧', '历史', '传承', '机场', '三观', '从古至今', '没事', '历史悠久', '底蕴']"
127,Evaluation,PublicMorality,621,127_男厕_女厕_女厕所_男厕所,"['男厕', '女厕', '女厕所', '男厕所', '厕所', '导演', '电视剧', '本色', '我演', '出演']"
128,Sexuality,IntimateDivisionship,537,128_前男友_前任_前女友_灵机一动,"['前男友', '前任', '前女友', '灵机一动', '前夫', '分手', '机会', '我前', '前前', '前妻']"
129,Sexuality,PhysicalApperances,620,129_健身_健身房_腹肌_肌肉,"['健身', '健身房', '腹肌', '肌肉', '肌肉男', '教练', '吸引', '过度', '比赛', '这口']"
130,Division,ParentApproval,557,130_同性恋_孩子_父母_儿子,"['同性恋', '孩子', '父母', '儿子', '我妈', '妈妈', '家长', '接受', '同性', '前男友']"
132,Evaluation,Approval,494,132_我靠帅_kitty_猫猫_卧槽,"['我靠帅', 'kitty', '猫猫', '卧槽', 'wow', '拉拉', '我家', 'brat', 'cua', '飞天猫']"
135,Evaluation,Approval,454,135_救命_祖坟_天花板_考古,"['救命', '祖坟', '天花板', '考古', '大吉大利', '救救', '青烟', '下葬', '连滚带爬', '发财']"
136,Identity,Freedom,544,136_歧视_幸福_有福_尊重,"['歧视', '幸福', '有福', '尊重', '福中', '身在', '反对', '权利', '理解', '平等']"
137,Sexuality,Courtship,477,137_重庆_荆州_武汉_湖北,"['重庆', '荆州', '武汉', '湖北', '金州', '北碚', '遵义', '大连', '蹲个', '来个']"
138,Evaluation,Approval,468,138_幸福_幸运_不幸_真幸福,"['幸福', '幸运', '不幸', '真幸福', '运气', '时刻', '福气', '幸福生活', '喜乐', '美好']"
139,Sexuality,Courtship,530,139_老公_200_丈夫_300,"['老公', '200', '丈夫', '300', '100', '如花', '一万', '为夫', '一亮', '好桑心']"
140,Sexuality,Courtship,541,140_武汉_湖北_艾特_麦克阿瑟,"['武汉', '湖北', '艾特', '麦克阿瑟', '推特', '定居', '麦艾斯', '武昌区', '坐标', '十堰']"
142,Subculture,Culture,524,142_我趣_手册_莲花_攻略,"['我趣', '手册', '莲花', '攻略', '老实', '沈阳', '模糊不清', '辟邪', '土豆', '猪圈']"
143,Sexuality,Courtship,451,143_东北_辽宁_沈阳_口音,"['东北', '辽宁', '沈阳', '口音', '去一趟', '辽宁沈阳', '疾病', '吉林', '鞍山', '黑龙江']"
145,Identity,LoveDefinition,453,145_得不到_喜欢_推特_真心,"['得不到', '喜欢', '推特', '真心', '之后', '得到', '努力争取', '多久', '就行', '深知']"
146,Evaluation,Approval,511,146_艾比_装逼_作息_美国,"['艾比', '装逼', '作息', '美国', '加油', '采访', '国外', 'abbily', 'mp', '很棒']"
147,Subculture,Culture,483,147_博主_王一博_肖战_一肖,"['博主', '王一博', '肖战', '一肖', '博君', '当博主', '肖战王', '抄袭', '看博主', '一博']"
149,Health,Therapy,471,149_手术_做手术_术后_动手术,"['手术', '做手术', '术后', '动手术', '医学', '发达', '做个', '裂开', '手术费', '医院']"
150,Health,AIDS,450,150_艾滋病_艾滋_hiv_感染,"['艾滋病', '艾滋', 'hiv', '感染', '传染', '药娘', '病毒', '会得', '传播', '传染病']"
151,Identity,Freedom,440,151_美国_氛围_诡计多端_不去,"['美国', '氛围', '诡计多端', '不去', '止损', '整容', '泰国', '美帝', '国家', '及时']"
152,Division,Insider,486,152_南通_彩虹_绝望_凝视,"['南通', '彩虹', '绝望', '凝视', '麻绳', '专挑细', '处断', 'ex', '阻断', '女通']"
153,Division,Insider,483,153_博主_博主是_这博主_优秀,"['博主', '博主是', '这博主', '优秀', '博主好', '主叫', '男博主', '主讲', '接受', '博主说']"
155,Identity,GenderIdentity,461,155_裂开_月亮_moon_变性,"['裂开', '月亮', 'moon', '变性', '太准', '杂裂', '我裂', '死神', '苏培盛', '装备']"
158,Identity,Freedom,451,158_泰国_太好了_回来_省长,"['泰国', '太好了', '回来', '省长', '喜猪妹', '维生素', '太难', '去一趟', '泰语', '去过']"
159,Identity,Legal,556,159_接受_不了_犯法_违法,"['接受', '不了', '犯法', '违法', '扰乱', '法律', '违反', '排斥', '底线', '接纳']"
160,Division,Insider,439,160_直播_直播间_行业_甜死,"['直播', '直播间', '行业', '甜死', '打赏', '平台', '关闭', '管管', '广场', '音响']"
161,Identity,Boundaries,432,161_男生_后滴_群嘛_女孩子,"['男生', '后滴', '群嘛', '女孩子', '女生', '搭群', '00', '90', '适合', '拥有']"
162,Sexuality,PhysicalApperances,518,162_发型_头发_山东_济南,"['发型', '头发', '山东', '济南', '临沂', '菏泽', '发色', '烟台', '剪头发', '淄博']"
163,Evaluation,Approval,548,163_纯爱_战士_应声_倒地,"['纯爱', '战士', '应声', '倒地', '战神', '清纯', '快分', '17', 'man', '纯色']"
164,Sexuality,PhysicalApperances,503,164_短发_长发_剪短_头发,"['短发', '长发', '剪短', '头发', '全校', '秒杀', '啥意思', '多帅', '发了', '发有']"
165,Identity,LoveDefinition,613,165_变性_祝福_变性人_恭喜,"['变性', '祝福', '变性人', '恭喜', '百年好合', '寿命', '祝你们', '希望', '不变性', '性转']"
166,Sexuality,PhysicalApperances,529,166_月经_大姨妈_姨妈_没来,"['月经', '大姨妈', '姨妈', '没来', '例假', '癌症', '不来', '14', '痛经', '感冒']"
167,Evaluation,PublicMorality,760,167_小心_犯贱_注意_真贱,"['小心', '犯贱', '注意', '真贱', '安全感', '放心', '人贱', '纯贱', '原来', '保护']"
168,Sexuality,PhysicalApperances,585,168_激素_注射_雌激素_雌性激素,"['激素', '注射', '雌激素', '雌性激素', '雄性激素', '雄激素', '分泌', '副作用', '第三', '我得']"
169,Identity,Legal,405,169_法律_违法_道德_公序良,"['法律', '违法', '道德', '公序良', '犯法', '违背', '国家', '违反', '风俗', '不道德']"
170,Evaluation,Approval,606,170_宝宝_甜死_太甜_红脸,"['宝宝', '甜死', '太甜', '红脸', 'baby', '很甜', '甜甜', '别太甜', '宝贝', '大宝']"
171,Evaluation,Approval,735,171_zzl_恭喜_佩服_zs,"['zzl', '恭喜', '佩服', 'zs', '咖啡', '感谢', '鼓掌', '缩写', '滚滚', 'zy']"
172,Identity,Boundaries,663,172_进群_有群_子群_建了,"['进群', '有群', '子群', '建了', '想建', '想进', '拉群', '同一个', '拉拉', '建个']"
173,Sexuality,Courtship,477,173_山东_青岛_潍坊_济南,"['山东', '青岛', '潍坊', '济南', '以北', '山南', '山东人', '德州', '济宁', '侄女']"
174,Identity,LoveDefinition,526,174_纯爱_炸裂_无敌_纯情,"['纯爱', '炸裂', '无敌', '纯情', '通透', '纯洁', '崩溃', '碎片', '相当', '绝杀']"
175,Identity,GenderIdentity,538,175_爷名_卷卷_十二卷_个帅,"['爷名', '卷卷', '十二卷', '个帅', '昵称', '名字', '爱好', '自我介绍', '来个帅', '军书']"
176,Evaluation,Approval,512,176_祝福_祝你们_幸福_下辈子,"['祝福', '祝你们', '幸福', '下辈子', '希望', '判断', '久久', '幸福快乐', '无辜', '祝你幸福']"
177,Identity,Freedom,572,177_无奇不有_还给_一环_野花,"['无奇不有', '还给', '一环', '野花', '不大行', '有没有', '真有', '不信', '流弊', '无中生有']"
178,Sexuality,PhysicalApperances,494,178_测测_露脸_脸型_娇羞,"['测测', '露脸', '脸型', '娇羞', '伟大', '这脸', '长得', '我测', '撒娇', '变脸']"
179,Sexuality,PhysicalApperances,522,179_好会_出手_不会_会喜,"['好会', '出手', '不会', '会喜', '啊啊啊', '哈斯', 'omg', 'ctrl', '点燃', 'black']"
180,Sexuality,PhysicalApperances,586,180_小心_注意_好帅_危险,"['小心', '注意', '好帅', '危险', '注意安全', '太帅', '安全', '提醒', '防护', '很帅']"
181,Sexuality,PhysicalApperances,387,181_炸裂_美炸_静脉曲张_炸飞,"['炸裂', '美炸', '静脉曲张', '炸飞', '炸碎', '发明', '丝袜', '火花', '老炸', '炸起']"
182,Sexuality,Courtship,460,182_先谈_我谈_这辈子_眼睛,"['先谈', '我谈', '这辈子', '眼睛', '想谈', '谈个', '纸尿裤', '谈不谈', '能谈', '让开']"
183,Sexuality,IntimateDivisionship,492,183_宝宝_宝贝_宝儿_宝子,"['宝宝', '宝贝', '宝儿', '宝子', '身高', '180', '宝子们', 'kids', '175', '高定']"
184,Evaluation,Approval,786,184_鼓掌_惊喜_佩服_哈哈哈哈,"['鼓掌', '惊喜', '佩服', '哈哈哈哈', '哈哈哈', '击掌', '求求', '我求', '不活', '跪下']"
185,Division,Insider,563,185_懂吗_差距_主打_骚哄,"['懂吗', '差距', '主打', '骚哄', '懂不懂', '差别', '区别', '反差', '摊整', '一个']"
186,Sexuality,IntimateDivisionship,727,186_他俩_评论_咱俩_两口子,"['他俩', '评论', '咱俩', '两口子', '两个', '这俩', '相声', '双胞胎', '一对', '比上']"
187,Evaluation,Approval,515,187_炸裂_发呆_相当_炸弹,"['炸裂', '发呆', '相当', '炸弹', '崩溃', '爆炸', '红脸', '大出血', '这血', 'dnf']"
188,Division,Insider,404,188_名字_认出来_挂饰_英文名,"['名字', '认出来', '挂饰', '英文名', '洋气', '点名', '改名', '改名字', '雄鹰', '网名']"
189,Identity,GenderIdentity,404,189_无辜_鉴别_分辨_辨别,"['无辜', '鉴别', '分辨', '辨别', '报名', 'cp', '个事', '事儿', '愿者上钩', '恩爱']"
190,Division,Insider,524,190_看不到_没见_plq_prep,"['看不到', '没见', 'plq', 'prep', '见过', '看不见', '看到', '有过', '看见', 'py']"
191,Division,Insider,493,191_我测_测测_来测_测试,"['我测', '测测', '来测', '测试', '快来测', '测出', '理解', '测完', '别测', '你测']"
192,Division,Insider,388,192_不会_我会_个泛_一脚,"['不会', '我会', '个泛', '一脚', 'will', '下次', '好会', '标签', '数数', 'cd']"
193,Sexuality,Courtship,464,193_多久_成分_秦皇岛_愿意,"['多久', '成分', '秦皇岛', '愿意', '周瑶', '复杂', '刮骨刀', '化学', '微笑', '阉割']"
194,Evaluation,PublicMorality,424,194_恶心_乱搞_周周_男同,"['恶心', '乱搞', '周周', '男同', '同性', '异性恋', '同性恋', '异性', '瑶瑶', '魔力']"
195,Subculture,Culture,503,195_好帅_惊呆_子期_九敏,"['好帅', '惊呆', '子期', '九敏', '微笑', 'mad', '惊为天人', '惊人', '我服', '惊到']"
196,Sexuality,PhysicalApperances,563,196_卫生巾_正义_胸口_小便,"['卫生巾', '正义', '胸口', '小便', '发呆', '之声', '撒尿', '姨妈', '尿不湿', '拉尿']"
197,Identity,GenderIdentity,451,197_丝袜_发明_高跟鞋_最早,"['丝袜', '发明', '高跟鞋', '最早', '男士', '设计', '欧洲', '最初', '贵族', '可爱']"
